Sample,Candida theae,Mesorhizobium kowhaii,Xenophilus sp. L33,Candidatus Gallionella acididurans,uncultured bacterium IN-06,Mucilaginibacter sp. OK098,Verrucomicrobium sp. GAS474,Candidatus Peregrinibacteria bacterium CG_4_10_14_0_2_um_filter_38_24,Verrucomicrobia bacterium Tous-C9LFEB,Verrucomicrobia bacterium LW23,Ramlibacter sp. 18x22-1,Tardiphaga sp. vice278,Microvirga thermotolerans,Mesorhizobium loti,Microvirga lupini,uncultured bacterium Bio7,Pinus canariensis,Oxytricha granulifera,Freesia hybrid cultivar,Streptomyces chlorus,clay_depth,sand_depth,silt_depth,pH_depth,coarse_depth,soilclass,soiltemp0to7cm,temp,totalrain,soilwater0to7cm,totalrain_long,temp_long,soiltemp_0_7_long,soilwater_0_7_long,temp_diff,rain_diff,soiltemp0to7cm_diff,soilwater0to7cm_diff,bulk_depth,Habitat,cation_depth,nitro_depth,orgcarbon_depth
G2831,0,99,36,26,0,21,27,1,43,73,22,8,14,100,11,0,0,0,0,0,18.3,55.5,26.1,6.4,0.85,12,15.4,14.69,2.51E-05,0.33,0.000121937,18.24,18.3,0.27,-3.554677975,-9.68E-05,-2.897493652,0.062301723,0.67,Temperate_deciduous_forests,33.2,9.89,67.6
G2836,0,35,71,45,0,78,172,0,466,432,7,15,18,60,5,0,0,0,0,0,5.8,53.7,40.5,4.8,1.31,6,11.53,12.44,3.47E-05,0.24,0.000149211,12.68,12.26,0.23,-0.237392417,-0.000114495,-0.735920917,0.009860221,0.6,Boreal_forests,41.8,8.63,177.6
G2838,0,76,42,50,0,98,52,0,101,88,6,42,22,102,7,0,0,0,0,0,9.7,48.8,41.5,5.8,11.76,6,12.78,12.94,0.000104139,0.38,0.00013363,12.06,12.81,0.33,0.877167517,-2.95E-05,-0.03022176,0.051896207,0.68,Boreal_forests,29.2,7.59,158.6
G2840,0,66,51,77,0,148,277,0,663,607,14,20,19,98,6,1,0,0,0,0,9.6,52.7,37.7,5.1,1.52,6,12.37,12.62,7.69E-06,0.41,0.000134106,14.52,13.67,0.43,-1.899302522,-0.000126419,-1.293955149,-0.022268989,0.71,Boreal_forests,45.5,9.8,196.4
G2844,0,116,90,36,0,134,38,0,63,72,30,18,30,153,18,0,0,0,0,0,17.8,46.4,35.8,5.3,1.04,18,1.49,-0.62,7.95E-06,0.39,8.96E-05,2.04,2.43,0.38,-2.659747484,-8.17E-05,-0.944014519,0.015012558,0.64,Temperate_coniferous_forests,32.2,10.16,95.2
G2846,0,97,51,22,0,24,18,0,58,89,16,11,30,136,18,1,0,0,0,0,12.6,67.7,19.7,6.2,0.91,12,12.25,10.67,6.80E-05,0.09,0.000106976,13.81,14.73,0.08,-3.132552627,-3.90E-05,-2.478447521,0.011248622,0.7,Temperate_deciduous_forests,35,9.8,120.1
G2847,0,215,71,45,0,69,37,0,76,118,30,16,34,180,11,2,0,0,0,0,21,48.2,30.8,6.2,0.89,6,11.12,11.34,4.09E-05,0.29,9.54E-05,12.98,13.34,0.25,-1.633612895,-5.44E-05,-2.226678918,0.039365409,0.8,Temperate_deciduous_forests,35,8.34,88.8
G2907,0,28,30,30,0,10,13,0,35,36,24,17,44,76,26,0,0,0,0,0,37.3,26.6,36.1,5.5,1.64,0,21.57,21.85,5.13E-05,0.44,5.32E-05,17.66,18.25,0.36,4.184561146,-1.83E-06,3.318653408,0.077462448,1.07,Moist_tropical_forests,19.8,3.13,40.1
G2969,0,36,66,36,0,82,33,0,44,47,7,17,39,119,11,0,0,0,0,0,32.6,31.5,35.9,5.2,2.07,18,20.41,20.87,1.25E-05,0.44,0.000181872,20.7,20.74,0.42,0.172109751,-0.000169369,-0.330218772,0.020679074,0.95,Tropical_montane_forests,19.9,7.2,72.8
G2971,0,73,43,40,0,71,35,0,76,86,18,23,24,96,17,0,0,0,0,0,22.6,50.8,26.6,5.4,1.06,12,6.41,6.15,3.62E-05,0.35,9.35E-05,6.87,7.15,0.31,-0.717720583,-5.73E-05,-0.746466104,0.034621991,0.8,Temperate_deciduous_forests,42.3,9.61,131.6
G3050,0,25,45,16,0,18,25,0,44,43,84,9,70,68,36,0,0,0,0,0,22.8,34.3,42.9,5.7,1.86,6,24.39,24.68,0.000381949,0.48,0.000299031,23.86,23.87,0.44,0.822696726,8.29E-05,0.519025066,0.037889846,1.12,Dry_tropical_forests,25,2.88,51.5
